lat,lon,temp,humidity,co,co2,nh3,no2,tvoc
43.02797233,131.8913562,21.22695484,42.81980431,311.6812659,418.2690853,676.6310121,303.5083044,552.3644074
43.03173344,131.886304,21.85232171,36.18971147,251.060406,655.0905334,619.7724264,371.6440905,283.5905558
43.0316005,131.8984089,28.42243764,55.62158538,695.3365412,333.5852615,460.2752176,390.0580826,589.5902566
43.02230393,131.9006305,29.82334485,23.00057546,268.0226333,476.4389109,451.6059608,552.5822709,330.6226571
43.03435596,131.8859057,21.87363236,64.9425627,364.7410903,441.6959548,722.9135141,624.4156265,622.6121449
43.02308791,131.9005705,30.91861697,58.84224236,733.5329893,664.1473387,303.3009322,277.159819,567.3594072
43.03394853,131.889826,30.67419304,50.28150011,429.149455,296.8870243,739.5341738,406.5101113,738.4169529
43.03418502,131.8963569,22.51458365,43.89498471,330.2878184,607.0428547,320.0395791,693.7029003,430.2173642
43.03152836,131.8824416,25.5603266,55.73352363,533.507455,385.4801803,660.3386902,606.192789,577.7615244
43.01860313,131.8903571,24.90139402,33.12490903,691.3353413,288.2823889,437.1412725,257.4343586,625.1306731
43.01640193,131.8899862,23.05751512,60.18262554,502.2431377,370.928994,515.410328,639.5978914,253.3345338
43.02135808,131.8972992,26.1042431,28.78648553,313.1781911,404.1278272,475.6819711,267.7187616,270.4694736
43.03216961,131.8909629,28.89854784,21.85846703,724.0476162,549.1493795,487.7119997,666.4291928,288.7441038
43.03253239,131.891083,24.34566634,37.36177263,256.3622667,677.517697,276.2544826,336.1033713,299.374624
43.02995664,131.9018611,26.12233737,20.89288576,415.5446444,299.9894559,337.7329613,608.8660758,307.3888959
43.01992847,131.8860948,30.60021358,59.68859273,388.8130421,300.8570671,497.1483485,464.7050946,580.5949567
43.03611311,131.8979089,30.33425519,23.95393195,588.0604132,316.1609758,294.9227262,527.6875846,361.0114126
43.02843354,131.8850451,28.85633519,28.81783547,452.537863,654.353833,523.1893271,355.7283295,645.8262049
43.01774183,131.8894743,28.58895062,48.57851137,518.4518998,404.7502327,365.3444155,602.7646171,302.1273313
43.02575102,131.8949519,30.28666754,27.59107346,605.8297386,293.3119054,629.743254,601.3814375,586.5593596
43.03037437,131.9015,30.30864758,35.30444841,704.5931857,348.2824307,565.1071249,531.6906616,526.4715978
43.02353176,131.8832582,24.53974192,54.70236179,666.8773727,564.6788513,350.77775,319.1910185,300.2586621
43.01885934,131.8905565,25.27268455,19.03408182,656.7821903,470.2199762,284.0792103,527.1536996,395.7555376
43.03124105,131.89678,30.40466992,57.9667768,475.2695445,282.9299044,452.7320405,477.7240676,377.6269348
43.03212296,131.8863599,28.13072864,49.10736563,256.6961711,408.3782663,263.2377045,273.145299,740.900302
43.01680671,131.8924999,28.67474508,16.70206825,663.2558336,423.4555625,626.1961518,481.5170442,414.3469653
43.02879889,131.888293,22.76499403,40.88054523,532.294588,524.7907474,500.2271099,593.3699396,362.3102411
43.02316167,131.8917866,21.53331051,49.94003942,315.2463346,516.0961778,676.802787,379.9004268,654.7109002
43.03238475,131.8830009,29.81607614,48.32602122,431.8128907,737.824507,573.3259212,626.1752036,737.1332281
43.02937748,131.8979114,23.35425284,37.77962471,458.406874,607.3449985,613.3978,517.6282002,394.6704483
43.02990364,131.8933132,27.08705289,34.84192921,283.5139716,450.4917096,415.9503527,598.3178029,601.1395485
43.02656577,131.8906635,27.74523879,35.3207246,374.6002584,617.2548191,378.3674818,579.3288729,687.4115518
43.02203566,131.8977183,24.59896635,54.42322347,749.0995621,695.1774169,708.2738755,564.383687,409.400734
43.0307245,131.884427,29.09318008,53.82271649,439.6023515,744.4186243,735.562067,579.6458538,708.3304571
43.03327137,131.8860713,23.91269023,41.98721637,704.7881377,509.4763056,524.0556829,556.6657741,349.0964797
43.03253596,131.8826566,24.16750061,60.38981241,538.4036261,498.6301726,651.3701827,712.4619291,301.6362733
43.03336998,131.9018016,21.51251989,23.99743647,578.7503208,431.380115,454.3568978,323.0192149,636.0158335
43.03607846,131.8865737,21.44923205,47.19247424,457.3404478,684.663816,593.2704448,361.4450532,663.7549335
43.02877743,131.8910808,29.7485333,24.72105231,639.3806442,370.1012938,422.3542428,728.5965059,503.2159039
43.02050437,131.8967732,22.99549769,49.63950861,459.1014891,400.9478694,492.0694839,409.6675768,683.3404028
43.0213921,131.9002465,21.97151111,51.76177331,689.2214436,618.2825088,339.7393488,413.3312147,497.3775923
43.01914461,131.8905982,24.61463136,21.22913134,384.6478397,616.559497,344.4202743,634.4461602,277.226803
43.02369949,131.8949493,28.0019948,43.68828429,532.3942835,467.7344469,498.4547061,304.2274665,699.6336339
43.02432144,131.8991353,26.06744293,31.12686362,488.2037292,279.4855697,374.1720341,566.9025883,329.6723986
43.02612778,131.8847401,27.21784034,46.99803188,553.4049212,463.0453395,266.2792005,320.0563711,718.4361071
43.02422479,131.9002991,22.19047251,35.95373983,662.6362518,366.0578214,526.8720884,315.3176115,662.6931131
43.03403835,131.8989135,28.73813561,30.07856478,444.4115264,464.0065246,370.4781813,277.7293855,648.6739385
43.01697021,131.8886005,24.29519043,45.15652111,284.2202334,598.1408874,460.3201019,359.6938567,535.6125123
43.02007151,131.8847529,28.83850108,56.92648693,626.4454896,494.4171069,293.3418185,458.1857849,259.4080745
43.03062924,131.8986443,22.65329149,47.74798827,382.6794415,533.8101638,601.5543083,343.205338,541.702122
43.02476125,131.892729,30.36259615,22.26712994,549.7301888,321.2340031,741.4962246,597.5446909,251.7725135
43.02390229,131.8924518,23.66705341,42.08227951,258.9526892,305.8793312,702.2500609,351.6562355,517.6198558
43.03032496,131.8955414,23.79373675,19.95572077,714.0129971,513.853048,437.9763909,279.5331718,604.611998
43.03233043,131.883663,28.72494096,20.50840676,529.2909166,502.1723338,439.5266329,683.7272958,290.5407948
43.02727699,131.8827896,28.91784217,33.06321313,397.0171765,592.4576931,616.3208476,528.6982591,711.9894583
43.0308968,131.9023314,23.28367895,28.28878185,359.5200007,342.1237691,520.6484738,423.5870334,320.0409291
43.0173376,131.8872913,26.80660605,16.03004334,341.7424956,303.1647207,673.690098,580.6332608,517.369823
43.0202202,131.8827933,21.25911323,38.65518203,318.4069796,362.0481135,531.9229971,707.1084839,616.7300049
43.0195334,131.890161,27.7074496,25.8416305,458.090043,501.8405802,355.8088486,321.0229425,671.6291781
43.03396266,131.8860385,27.38330198,46.5382724,369.2182547,460.147997,640.9732141,716.2031431,743.8885057
43.02208387,131.8919283,30.20538453,55.01091292,516.5017519,257.1123301,385.583335,619.5692286,308.1447143
43.02169314,131.8980276,21.87173589,37.67320903,698.055603,682.0094018,320.2641744,422.5858291,533.9454276
43.01968978,131.8991013,29.32290357,62.34343145,413.8800568,473.5215729,611.3772324,434.9183385,505.851102
43.02718702,131.9017269,27.05112502,53.54493917,527.8169671,353.2712175,288.0897945,466.8647945,526.3949868
43.01809575,131.8933254,24.81585891,63.86542398,572.3756395,303.5992039,699.032116,446.2012387,634.9634814
43.03077422,131.8831767,28.46737575,19.82549035,519.0274124,460.5220781,658.3019476,743.1726836,282.2431294
43.02362318,131.8955301,27.13490125,55.27425329,404.1290455,304.0840615,318.0388499,527.7290971,706.3464416
43.01797529,131.9003662,28.43227196,25.2852124,509.3962455,295.0978375,299.9920155,685.7809808,532.8865671
43.01646178,131.8911327,24.39767189,51.32837979,635.08598,441.7258504,250.7184465,531.1940775,433.3397751
43.03559246,131.8963834,28.06156712,60.57631576,455.4838253,719.1237955,345.2048742,548.5637539,484.3254954
